Idx,HW,SW,AbsErr,PercentErr
0,33,32.5,0.5,1.54
1,96,95.8,0.2,0.21
2,0,0,0,0.00
3,115,114.9,0.1,0.09
4,128,127.7,0.3,0.23
5,36,36.2,0.2,0.55
6,18,18.1,0.1,0.55
7,145,144.8,0.2,0.14
8,0,0,0,0.00
9,0,0,0,0.00
10,47,46.8,0.2,0.43
11,111,110.9,0.1,0.09
12,0,0,0,0.00
13,106,105.7,0.3,0.28
14,0,0,0,0.00
15,0,0,0,0.00
16,35,34.7,0.3,0.86
17,67,66.9,0.1,0.15
18,35,34.6,0.4,1.16
19,31,31.2,0.2,0.64
20,83,82.7,0.3,0.36
21,78,77.8,0.2,0.26
22,38,38.2,0.2,0.52
23,0,0,0,0.00
24,126,125.6,0.4,0.32
25,18,18.2,0.2,1.10
26,93,92.8,0.2,0.22
27,0,0,0,0.00
28,88,87.9,0.1,0.11
29,99,98.7,0.3,0.30
30,0,0,0,0.00
31,0,0,0,0.00
32,0,0,0,0.00
33,0,0,0,0.00
34,126,125.8,0.2,0.16
35,133,132.6,0.4,0.30
36,92,91.7,0.3,0.33
37,0,0,0,0.00
38,0,0,0,0.00
39,0,0,0,0.00
40,0,0,0,0.00
41,131,130.7,0.3,0.23
42,123,122.8,0.2,0.16
43,133,132.9,0.1,0.08
44,133,132.7,0.3,0.23
45,39,39.1,0.1,0.26
46,86,85.7,0.3,0.35
47,147,146.8,0.2,0.14
48,0,0,0,0.00
49,15,15.1,0.1,0.66
50,74,73.7,0.3,0.41
51,0,0,0,0.00
52,17,17.2,0.2,1.16
53,101,100.8,0.2,0.20
54,0,0,0,0.00
55,36,36.1,0.1,0.28
56,9,9.2,0.2,2.17
57,0,0,0,0.00
58,0,0,0,0.00
59,61,60.7,0.3,0.49
60,0,0,0,0.00
61,23,23.1,0.1,0.43
62,0,0,0,0.00
63,0,0,0,0.00
64,35,34.8,0.2,0.57
65,148,147.7,0.3,0.20
66,0,0,0,0.00
67,87,86.7,0.3,0.35
68,0,0,0,0.00
69,116,115.8,0.2,0.17
70,0,0,0,0.00
71,0,0,0,0.00
72,72,71.8,0.2,0.28
73,124,123.7,0.3,0.24
74,21,21.1,0.1,0.47
75,30,30.2,0.2,0.66
76,0,0,0,0.00
77,6,6.1,0.1,1.64
78,100,99.7,0.3,0.30
79,0,0,0,0.00
80,50,50.1,0.1,0.20
81,48,48.2,0.2,0.41
82,79,78.7,0.3,0.38
83,0,0,0,0.00
84,0,0,0,0.00
85,120,119.8,0.2,0.17
86,0,0,0,0.00
87,107,106.7,0.3,0.28
88,0,0,0,0.00
89,0,0,0,0.00
90,0,0,0,0.00
91,19,18.9,0.1,0.53
92,79,78.8,0.2,0.25
93,124,123.8,0.2,0.16
94,0,0,0,0.00
95,135,134.7,0.3,0.22
96,0,0,0,0.00
97,106,105.8,0.2,0.19
98,12,12.1,0.1,0.83
99,0,0,0,0.00
100,0,0,0,0.00
101,75,74.8,0.2,0.27
102,105,104.7,0.3,0.29
103,35,34.8,0.2,0.57
104,0,0,0,0.00
105,66,65.7,0.3,0.46
106,0,0,0,0.00
107,42,41.8,0.2,0.48
108,85,84.7,0.3,0.35
109,112,111.7,0.3,0.27
110,65,64.8,0.2,0.31
111,0,0,0,0.00
112,53,52.7,0.3,0.57
113,0,0,0,0.00
114,123,122.8,0.2,0.16
115,58,57.8,0.2,0.35
116,94,93.7,0.3,0.32
117,0,0,0,0.00
118,0,0,0,0.00
119,113,112.7,0.3,0.27
120,129,128.8,0.2,0.16
121,112,111.7,0.3,0.27
122,0,0,0,0.00
123,25,25.1,0.1,0.40
124,0,0,0,0.00
125,116,115.7,0.3,0.26
126,57,56.8,0.2,0.35
127,32,32.1,0.1,0.31
128,0,0,0,0.00
129,60,59.7,0.3,0.50
130,0,0,0,0.00
131,48,47.8,0.2,0.42
132,100,99.7,0.3,0.30
133,127,126.7,0.3,0.24
134,34,34.1,0.1,0.29
135,58,57.8,0.2,0.35
136,0,0,0,0.00
137,0,0,0,0.00
138,0,0,0,0.00
139,0,0,0,0.00
140,47,46.7,0.3,0.64
141,26,25.8,0.2,0.78
142,98,97.8,0.2,0.20
143,30,30.1,0.1,0.33
144,53,52.7,0.3,0.57
145,124,123.7,0.3,0.24
146,136,135.8,0.2,0.15
147,0,0,0,0.00
148,0,0,0,0.00
149,91,90.7,0.3,0.33
150,0,0,0,0.00
151,88,87.8,0.2,0.23
152,0,0,0,0.00
153,33,32.7,0.3,0.92
154,55,54.7,0.3,0.55
155,0,0,0,0.00
156,88,87.8,0.2,0.23
157,108,107.7,0.3,0.28
158,0,0,0,0.00
159,0,0,0,0.00
160,0,0,0,0.00
161,0,0,0,0.00
162,0,0,0,0.00
163,3,3.1,0.1,3.23
164,67,66.7,0.3,0.45
165,70,69.8,0.2,0.29
166,0,0,0,0.00
167,61,60.7,0.3,0.49
168,105,104.7,0.3,0.29
169,25,25.1,0.1,0.40
170,0,0,0,0.00
171,58,57.8,0.2,0.35
172,0,0,0,0.00
173,0,0,0,0.00
174,93,92.7,0.3,0.32
175,81,80.7,0.3,0.37
176,110,109.7,0.3,0.27
177,0,0,0,0.00
178,0,0,0,0.00
179,0,0,0,0.00
180,0,0,0,0.00
181,0,0,0,0.00
182,0,0,0,0.00
183,141,140.7,0.3,0.21
184,0,0,0,0.00
185,7,7.1,0.1,1.41
186,0,0,0,0.00
187,47,46.7,0.3,0.64
188,26,25.8,0.2,0.78
189,116,115.7,0.3,0.26
190,0,0,0,0.00
191,0,0,0,0.00
192,34,33.7,0.3,0.89
193,0,0,0,0.00
194,0,0,0,0.00
195,82,81.8,0.2,0.24
196,0,0,0,0.00
197,0,0,0,0.00
198,0,0,0,0.00
199,26,25.7,0.3,1.17
200,115,114.7,0.3,0.26
201,0,0,0,0.00
202,3,3.1,0.1,3.23
203,31,30.7,0.3,0.98
204,118,117.8,0.2,0.17
205,76,75.7,0.3,0.40
206,0,0,0,0.00
207,0,0,0,0.00
208,0,0,0,0.00
209,90,89.7,0.3,0.33
210,0,0,0,0.00
211,0,0,0,0.00
212,136,135.7,0.3,0.22
213,61,60.7,0.3,0.49
214,0,0,0,0.00
215,117,116.7,0.3,0.26
216,0,0,0,0.00
217,0,0,0,0.00
218,32,31.7,0.3,0.95
219,0,0,0,0.00
220,0,0,0,0.00
221,76,75.8,0.2,0.26
222,87,86.7,0.3,0.35
223,134,133.8,0.2,0.15
224,0,0,0,0.00
225,149,148.7,0.3,0.20
226,0,0,0,0.00
227,82,81.7,0.3,0.37
228,0,0,0,0.00
229,0,0,0,0.00
230,128,127.8,0.2,0.16
231,0,0,0,0.00
232,132,131.7,0.3,0.23
233,0,0,0,0.00
234,51,50.7,0.3,0.59
235,108,107.8,0.2,0.19
236,0,0,0,0.00
237,0,0,0,0.00
238,0,0,0,0.00
239,138,137.7,0.3,0.22
240,86,85.7,0.3,0.35
241,10,10.1,0.1,0.99
242,8,8.2,0.2,2.44
243,67,66.7,0.3,0.45
244,94,93.7,0.3,0.32
245,127,126.7,0.3,0.24
246,0,0,0,0.00
247,0,0,0,0.00
248,45,44.7,0.3,0.67
249,135,134.7,0.3,0.22
250,0,0,0,0.00
251,144,143.7,0.3,0.21
252,0,0,0,0.00
253,137,136.7,0.3,0.22
