input_idx,input_val,weight,prod,contrib
0,33,57,1881,1
1,96,18,1728,1
2,0,-38,0,0
3,115,72,8280,8
4,128,27,3456,3
5,36,35,1260,1
6,18,18,324,0
7,145,46,6670,6
8,0,25,0,0
9,0,-26,0,0
10,0,52,0,0
11,0,24,0,0
12,47,-58,-2726,-3
13,111,59,6549,6
14,0,60,0,0
15,106,-15,-1590,-2
16,0,39,0,0
17,0,-32,0,0
18,35,18,630,0
19,67,-26,-1742,-2
20,35,36,1260,1
21,31,47,1457,1
22,83,5,415,0
23,78,51,3978,3
24,38,-38,-1444,-2
25,0,1,0,0
26,126,82,10332,10
27,18,-29,-522,-1
28,93,76,7068,6
29,0,46,0,0
30,88,59,5192,5
31,99,43,4257,4
32,0,22,0,0
33,0,-17,0,0
34,0,-28,0,0
35,0,40,0,0
36,126,-12,-1512,-2
37,133,-46,-6118,-6
38,92,78,7176,7
39,0,13,0,0
40,0,-22,0,0
41,0,3,0,0
42,0,-43,0,0
43,131,-4,-524,-1
44,123,-34,-4182,-5
45,133,54,7182,7
46,133,62,8246,8
47,39,-36,-1404,-2
48,86,-12,-1032,-2
49,147,49,7203,7
50,0,-45,0,0
51,15,30,450,0
52,74,52,3848,3
53,0,-16,0,0
54,17,25,425,0
55,101,13,1313,1
56,0,16,0,0
57,36,-9,-324,-1
58,9,23,207,0
59,0,-37,0,0
60,0,56,0,0
61,61,28,1708,1
62,0,36,0,0
63,23,21,483,0
64,0,-38,0,0
65,0,8,0,0
66,35,-33,-1155,-2
67,148,-29,-4292,-5
68,0,79,0,0
69,87,18,1566,1
70,0,56,0,0
71,116,-4,-464,-1
72,0,-53,0,0
73,0,63,0,0
74,72,19,1368,1
75,124,57,7068,6
76,21,-40,-840,-1
77,30,-36,-1080,-2
78,0,-35,0,0
79,6,-51,-306,-1
80,100,46,4600,4
81,0,-50,0,0
82,50,19,950,0
83,48,-17,-816,-1
84,79,59,4661,4
85,0,2,0,0
86,0,22,0,0
87,120,-8,-960,-1
88,0,11,0,0
89,107,-10,-1070,-2
90,0,-8,0,0
91,0,36,0,0
92,0,28,0,0
93,19,-12,-228,-1
94,79,75,5925,5
95,124,22,2728,2
96,0,10,0,0
97,135,-39,-5265,-6
98,0,25,0,0
99,106,-38,-4028,-4
100,12,68,816,0
101,0,90,0,0
102,0,-41,0,0
103,75,-39,-2925,-3
104,105,20,2100,2
105,35,-18,-630,-1
106,0,-42,0,0
107,66,-25,-1650,-2
108,0,6,0,0
109,42,40,1680,1
110,85,-19,-1615,-2
111,112,-3,-336,-1
112,65,-30,-1950,-2
113,0,-9,0,0
114,53,-52,-2756,-3
115,0,-32,0,0
116,123,18,2214,2
117,58,63,3654,3
118,94,-3,-282,-1
119,0,38,0,0
120,0,-48,0,0
121,113,0,0,0
122,129,65,8385,8
123,112,41,4592,4
124,0,52,0,0
125,25,27,675,0
126,0,21,0,0
127,116,25,2900,2
128,57,19,1083,1
129,32,-48,-1536,-2
130,0,50,0,0
131,60,41,2460,2
132,0,32,0,0
133,48,-4,-192,-1
134,100,-44,-4400,-5
135,127,27,3429,3
136,34,80,2720,2
137,58,14,812,0
138,0,-18,0,0
139,0,6,0,0
140,0,-5,0,0
141,0,-3,0,0
142,47,11,517,0
143,26,-2,-52,-1
144,98,71,6958,6
145,30,-16,-480,-1
146,53,-30,-1590,-2
147,124,-24,-2976,-3
148,136,55,7480,7
149,0,16,0,0
150,0,-36,0,0
151,91,39,3549,3
152,0,-31,0,0
153,88,-12,-1056,-2
154,0,32,0,0
155,33,-17,-561,-1
156,55,12,660,0
157,0,57,0,0
158,88,63,5544,5
159,108,6,648,0
160,0,-27,0,0
161,0,36,0,0
162,0,-18,0,0
163,0,27,0,0
164,0,-50,0,0
165,3,8,24,0
166,67,-28,-1876,-2
167,70,-38,-2660,-3
168,0,35,0,0
169,61,-39,-2379,-3
170,105,-31,-3255,-4
171,25,41,1025,1
172,0,55,0,0
173,58,-4,-232,-1
174,0,7,0,0
175,0,-42,0,0
176,93,32,2976,2
177,81,54,4374,4
178,110,-18,-1980,-2
179,0,-61,0,0
180,0,-46,0,0
181,0,-24,0,0
182,0,-36,0,0
183,0,73,0,0
184,0,-11,0,0
185,141,63,8883,8
186,0,19,0,0
187,7,22,154,0
188,0,79,0,0
189,47,7,329,0
190,26,19,494,0
191,116,29,3364,3
192,0,-11,0,0
193,0,-8,0,0
194,34,36,1224,1
195,0,-52,0,0
196,0,-11,0,0
197,82,-36,-2952,-3
198,0,29,0,0
199,0,-22,0,0
200,0,-52,0,0
201,26,-53,-1378,-2
202,115,60,6900,6
203,0,-4,0,0
204,3,9,27,0
205,31,-5,-155,-1
206,118,22,2596,2
207,76,28,2128,2
208,0,63,0,0
209,0,-8,0,0
210,0,74,0,0
211,90,47,4230,4
212,0,6,0,0
213,0,10,0,0
214,136,89,12104,11
215,61,9,549,0
216,0,42,0,0
217,117,30,3510,3
218,0,66,0,0
219,0,-26,0,0
220,32,-13,-416,-1
221,0,21,0,0
222,0,-33,0,0
223,76,-3,-228,-1
224,87,-38,-3306,-4
225,134,28,3752,3
226,0,-41,0,0
227,149,-42,-6258,-7
228,0,61,0,0
229,82,64,5248,5
230,0,9,0,0
231,0,-54,0,0
232,128,48,6144,6
233,0,80,0,0
234,132,9,1188,1
235,0,34,0,0
236,51,-42,-2142,-3
237,108,40,4320,4
238,0,59,0,0
239,0,63,0,0
240,0,21,0,0
241,138,37,5106,4
242,86,40,3440,3
243,10,66,660,0
244,8,-43,-344,-1
245,67,62,4154,4
246,94,20,1880,1
247,127,-17,-2159,-3
248,0,-37,0,0
249,0,-44,0,0
250,45,21,945,0
251,135,11,1485,1
252,0,-37,0,0
253,144,5,720,0
254,0,-40,0,0
255,137,47,6439,6
