# weight index, dec(Q5.10), hex16
0,10,000A
1,71,0047
2,-13,FFF3
3,-14,FFF2
4,53,0035
5,64,0040
6,7,0007
7,50,0032
8,12,000C
9,28,001C
10,78,004E
11,73,0049
12,72,0048
13,22,0016
14,46,002E
15,59,003B
16,-37,FFDB
17,1,0001
18,21,0015
19,18,0012
20,1,0001
21,-28,FFE4
22,-38,FFDA
23,42,002A
24,31,001F
25,68,0044
26,-10,FFF6
27,5,0005
28,-7,FFF9
29,53,0035
30,80,0050
31,7,0007
32,19,0013
33,43,002B
34,62,003E
35,64,0040
36,91,005B
37,30,001E
38,66,0042
39,-46,FFD2
40,-10,FFF6
41,-13,FFF3
42,66,0042
43,26,001A
44,33,0021
45,-36,FFDC
46,-45,FFD3
47,-9,FFF7
48,53,0035
49,1,0001
50,19,0013
51,-41,FFD7
52,73,0049
53,-38,FFDA
54,-2,FFFE
55,22,0016
56,33,0021
57,45,002D
58,25,0019
59,-52,FFCC
60,37,0025
61,-7,FFF9
62,-19,FFED
63,-5,FFFB
64,30,001E
65,-14,FFF2
66,68,0044
67,46,002E
68,1,0001
69,10,000A
70,-22,FFEA
71,78,004E
72,57,0039
73,51,0033
74,52,0034
75,56,0038
76,41,0029
77,-22,FFEA
78,65,0041
79,31,001F
80,9,0009
81,81,0051
82,-36,FFDC
83,14,000E
84,59,003B
85,15,000F
86,59,003B
87,-31,FFE1
88,36,0024
89,18,0012
90,1,0001
91,86,0056
92,4,0004
93,59,003B
94,17,0011
95,29,001D
96,-54,FFCA
97,-18,FFEE
98,-13,FFF3
99,23,0017
100,53,0035
101,60,003C
102,52,0034
103,19,0013
104,23,0017
105,65,0041
106,77,004D
107,51,0033
108,-29,FFE3
109,4,0004
110,5,0005
111,10,000A
112,-7,FFF9
113,6,0006
114,-39,FFD9
115,19,0013
116,-3,FFFD
117,23,0017
118,40,0028
119,84,0054
120,80,0050
121,56,0038
122,69,0045
123,-38,FFDA
124,-37,FFDB
125,-15,FFF1
126,17,0011
127,-60,FFC4
128,37,0025
129,86,0056
130,47,002F
131,76,004C
132,80,0050
133,10,000A
134,-18,FFEE
135,-16,FFF0
136,12,000C
137,-8,FFF8
138,79,004F
139,-37,FFDB
140,12,000C
141,41,0029
142,6,0006
143,44,002C
144,56,0038
145,27,001B
146,6,0006
147,-19,FFED
148,-47,FFD1
149,51,0033
150,-28,FFE4
151,37,0025
152,-57,FFC7
153,-13,FFF3
154,70,0046
155,36,0024
156,-2,FFFE
157,33,0021
158,1,0001
159,10,000A
160,0,0000
161,-25,FFE7
162,37,0025
163,-7,FFF9
164,1,0001
165,26,001A
166,45,002D
167,-29,FFE3
168,79,004F
169,-20,FFEC
170,-9,FFF7
171,2,0002
172,1,0001
173,-19,FFED
174,-8,FFF8
175,3,0003
176,40,0028
177,-1,FFFF
178,-41,FFD7
179,83,0053
180,76,004C
181,34,0022
182,-45,FFD3
183,-34,FFDE
184,-16,FFF0
185,17,0011
186,2,0002
187,-51,FFCD
188,-29,FFE3
189,-51,FFCD
190,17,0011
191,-48,FFD0
192,-12,FFF4
193,-30,FFE2
194,11,000B
195,-51,FFCD
196,49,0031
197,36,0024
198,-9,FFF7
199,40,0028
200,-35,FFDD
201,-1,FFFF
202,-3,FFFD
203,38,0026
204,11,000B
205,34,0022
206,-34,FFDE
207,48,0030
208,12,000C
209,7,0007
210,6,0006
211,64,0040
212,25,0019
213,67,0043
214,9,0009
215,58,003A
216,-16,FFF0
217,31,001F
218,-17,FFEF
219,-30,FFE2
220,46,002E
221,34,0022
222,14,000E
223,-37,FFDB
224,74,004A
225,-17,FFEF
226,-24,FFE8
227,-12,FFF4
228,18,0012
229,12,000C
230,-14,FFF2
231,26,001A
232,71,0047
233,42,002A
234,41,0029
235,-7,FFF9
236,-28,FFE4
237,-27,FFE5
238,-23,FFE9
239,74,004A
240,61,003D
241,76,004C
242,43,002B
243,43,002B
244,14,000E
245,63,003F
246,59,003B
247,-13,FFF3
248,-55,FFC9
249,-28,FFE4
250,5,0005
251,3,0003
252,40,0028
253,3,0003
254,-6,FFFA
255,-19,FFED
